message_len,total_time,throughput
1,0.000100,0.085600
101,0.000098,7.892975
201,0.000119,12.944021
301,0.000161,14.289899
401,0.000107,28.730199
501,0.000108,35.321598
601,0.000034,135.374584
701,0.000174,30.683220
801,0.000254,24.020824
901,0.000112,61.341002
1001,0.000149,51.245086
1101,0.000174,48.225424
1201,0.000227,40.455134
1301,0.000152,65.398222
1401,0.000204,52.360367
1501,0.000152,75.546345
1601,0.000142,85.911106
1701,0.000208,62.530371
1801,0.000131,104.521098
1901,0.000139,104.487502
2001,0.000182,83.754586
2101,0.000132,121.336966
2201,0.000127,132.299078
2301,0.000116,151.200481
2401,0.000149,123.274809
2501,0.000148,128.758902
2601,0.000239,82.866045
2701,0.000116,178.300300
2801,0.000162,132.114787
2901,0.000112,197.975222
3001,0.000052,440.288557
3101,0.000093,253.242706
3201,0.000079,310.120955
3301,0.000156,161.249665
3401,0.000050,523.240135
3501,0.000082,326.933693
3601,0.000051,535.469497
3701,0.000144,196.314879
3801,0.000132,219.300383
3901,0.000037,802.632555
4001,0.000113,269.880305
4101,0.000268,116.914405
4201,0.000129,248.617686
4301,0.000147,223.030876
4401,0.000096,350.870111
4501,0.000065,524.921013
4601,0.000154,228.004478
4701,0.000257,139.721844
4801,0.000261,140.535817
4901,0.000180,207.662919
5001,0.000145,262.300591
5101,0.000203,191.972058
5201,0.000353,112.522288
5301,0.000123,328.343555
5401,0.001315,31.339959
5501,0.000139,302.346667
5601,0.000199,214.320712
5701,0.000294,147.713404
5801,0.000251,176.075617
5901,0.000092,489.156997
6001,0.000153,298.300501
6101,0.000176,264.362491
6201,0.000518,91.341935
6301,0.000264,181.941855
6401,0.000188,259.241587
6501,0.000292,169.960173
6601,0.000136,371.287769
6701,0.000193,265.545764
6801,0.000294,176.379793
6901,0.000188,280.499322
7001,0.000070,765.599516
7101,0.000226,239.634489
7201,0.000262,209.653100
7301,0.000336,165.791612
7401,0.000162,347.579956
7501,0.000067,852.713960
7601,0.000216,268.824897
7701,0.000986,59.585423
7801,0.000357,166.593966
7901,0.000265,227.589799
8001,0.000196,311.933056
8101,0.000208,297.758757
8201,0.000212,294.697659
8301,0.000172,369.006339
8401,0.000202,317.864636
8501,0.000232,280.122472
8601,0.000255,257.634757
8701,0.000153,434.426739
8801,0.000157,428.656042
8901,0.000091,749.792392
9001,0.000102,676.535935
9101,0.000216,322.088094
9201,0.000351,199.729743
9301,0.000068,1048.647142
9401,0.000100,717.758509
9501,0.000077,943.999455
9601,0.000151,484.789809
9701,0.000078,944.534320
9801,0.000099,753.455077
9901,0.000085,891.038725
10001,0.000086,882.834780
10101,0.000070,1106.483441
10201,0.000109,711.560994
10301,0.000118,668.822685
10401,0.000070,1139.918473
10501,0.000074,1081.963411
10601,0.000077,1044.639457
10701,0.000206,395.789703
10801,0.000188,438.013168
10901,0.000230,361.665604
11001,0.000088,956.827179
11101,0.000267,317.769781
11201,0.000320,266.700586
11301,0.000248,347.985604
11401,0.000316,275.578761
11501,0.000334,262.551714
11601,0.000084,1052.620119
11701,0.000230,387.383380
11801,0.000302,298.189835
11901,0.000264,343.553263
12001,0.000148,618.578137
12101,0.000101,914.427488
12201,0.000134,694.986585
12301,0.000316,297.251844
12401,0.000301,314.320800
12501,0.000230,415.447810
12601,0.000221,434.687450
12701,0.000231,420.351252
12801,0.000364,267.961779
12901,0.000227,433.091208
13001,0.000349,284.283312
13101,0.000066,1515.046103
13201,0.000410,245.365358
13301,0.000142,716.668425
13401,0.000085,1208.054314
13501,0.000310,332.731678
13601,0.000357,290.353703
13701,0.000212,493.558686
13801,0.000139,757.408893
13901,0.000296,357.899812
14001,0.000359,297.505122
14101,0.000224,479.769558
14201,0.000119,913.756924
14301,0.000240,454.971229
14401,0.000233,470.738870
14501,0.000156,711.079997
14601,0.000163,681.990813
14701,0.000444,252.707492
14801,0.000351,321.294992
14901,0.000141,803.518088
15001,0.000215,531.381607
15101,0.000499,230.811258
15201,0.000253,458.870465
15301,0.000257,453.648667
15401,0.000240,490.199286
15501,0.000273,433.126036
15601,0.000204,582.484134
15701,0.000390,307.062714
15801,0.000162,745.488947
15901,0.000080,1518.993760
16001,0.000274,445.564555
16101,0.000353,347.942615
16201,0.000243,508.824949
16301,0.000192,647.724898
16401,0.000309,405.445617
16501,0.000241,523.031131
16601,0.000249,509.604257
16701,0.000320,397.830285
16801,0.000126,1020.146364
16901,0.000094,1367.235551
17001,0.000174,745.617057
17101,0.000187,696.336774
17201,0.000154,852.446692
17301,0.000255,517.311137
17401,0.000097,1365.268258
17501,0.000319,419.033684
17601,0.000304,441.528138
17701,0.000312,432.685284
17801,0.000238,569.477346
17901,0.000335,407.373282
18001,0.000257,535.337736
18101,0.000307,450.339381
18201,0.000161,863.246529
18301,0.000175,799.171817
18401,0.000329,427.171368
18501,0.000355,397.233016
18601,0.000250,567.836180
18701,0.000253,564.135225
18801,0.000265,542.038221
18901,0.000265,544.524106
19001,0.000122,1185.553230
19101,0.000087,1676.059486
19201,0.000323,453.511891
19301,0.000085,1728.071647
19401,0.000074,1988.591744
19501,0.000253,588.000537
19601,0.000331,451.518449
19701,0.000355,423.916515
19801,0.000281,537.947051
19901,0.000272,557.955113
20001,0.000271,564.104501
20101,0.000282,544.764631
20201,0.000285,540.457804
20301,0.000256,604.600281
20401,0.000283,550.606618
20501,0.000077,2044.189653
20601,0.000425,370.033008
20701,0.000264,597.874989
20801,0.000334,475.097040
20901,0.000269,592.136417
21001,0.000396,405.031153
21101,0.000427,377.068007
21201,0.000288,561.485939
21301,0.000338,481.157180
21401,0.000282,578.906297
21501,0.000306,535.434605
21601,0.000326,505.212982
21701,0.000413,400.929021
21801,0.000426,390.750009
21901,0.000302,553.533275
22001,0.000253,664.031707
22101,0.000346,487.578223
22201,0.000131,1296.876436
22301,0.000253,672.049367
22401,0.000300,569.020528
22501,0.000256,670.321317
22601,0.000120,1438.727250
22701,0.000472,366.648261
22801,0.000338,515.058000
22901,0.000303,576.715472
23001,0.000096,1830.940466
23101,0.000192,919.949456
23201,0.000295,600.668967
23301,0.000318,558.805890
23401,0.000330,541.792724
23501,0.000269,665.365449
23601,0.000272,662.783222
23701,0.000358,505.236726
23801,0.000286,635.434699
23901,0.000194,941.604430
24001,0.000336,545.682267
24101,0.000279,658.906171
24201,0.000267,692.092628
24301,0.000145,1277.591977
24401,0.000273,682.438493
24501,0.000298,626.875892
24601,0.000298,630.466228
24701,0.000271,696.010657
24801,0.000297,636.305628
24901,0.000185,1026.610900
25001,0.000081,2355.177181
25101,0.000279,685.908663
25201,0.000299,644.096765
25301,0.000376,513.659637
25401,0.000314,616.479314
25501,0.000315,617.546874
25601,0.000304,642.731901
25701,0.000350,560.000065
25801,0.000459,429.058652
25901,0.000268,736.045820
26001,0.000413,480.571829
26101,0.000352,565.562763
26201,0.000270,740.508247
26301,0.000283,709.197154
26401,0.000703,286.637683
26501,0.000175,1157.500373
26601,0.000146,1388.645043
26701,0.000120,1703.517316
26801,0.000296,690.994592
26901,0.000348,589.375177
27001,0.000089,2312.812809
27101,0.000319,648.245946
27201,0.000099,2097.430052
27301,0.000236,882.166821
27401,0.000111,1879.677692
27501,0.000481,435.908965
27601,0.000418,503.200558
27701,0.000445,475.173260
27801,0.000258,821.087359
27901,0.000290,733.721299
28001,0.000432,494.128765
28101,0.000279,768.059418
28201,0.000342,629.597848
28301,0.000416,518.624393
28401,0.000344,630.393855
28501,0.000451,482.418604
28601,0.000371,588.066863
28701,0.000289,756.921890
28801,0.000321,685.370127
28901,0.000295,746.315216
29001,0.000310,713.941003
29101,0.000119,1862.179727
29201,0.000307,724.717655
29301,0.000392,569.833939
29401,0.000454,493.791701
29501,0.000314,717.699936
29601,0.000392,576.048495
29701,0.000401,565.662579
29801,0.000294,773.204128
29901,0.000308,741.562059
30001,0.000317,722.275081
30101,0.000473,485.611311
30201,0.000304,757.965807
30301,0.000363,636.063637
30401,0.000319,727.926639
30501,0.000323,720.210692
30601,0.000366,638.046015
30701,0.000172,1359.950049
30801,0.000355,662.632305
30901,0.000427,552.268684
31001,0.000244,970.903312
31101,0.000296,801.306076
31201,0.000095,2497.777551
31301,0.000103,2324.352564
31401,0.000401,596.822148
31501,0.000305,789.099672
31601,0.000281,858.535778
31701,0.000436,554.740932
31801,0.000308,787.398070
31901,0.000314,775.478554
32001,0.000096,2544.917518
32101,0.000299,819.180891
32201,0.000308,797.819933
32301,0.000278,887.319928
32401,0.000447,553.437060
32501,0.000388,639.064116
32601,0.000337,737.983021
32701,0.000250,997.947167
32801,0.000082,3037.158180
32901,0.001216,206.490354
33001,0.000318,790.920916
33101,0.000344,733.605642
33201,0.000396,639.989090
33301,0.000373,680.644083
33401,0.000325,783.659397
33501,0.000177,1447.292491
33601,0.000270,948.126133
33701,0.000272,945.364089
33801,0.000473,545.684094
33901,0.000324,799.214706
34001,0.000349,744.323763
34101,0.000078,3331.296590
34201,0.000309,843.109236
34301,0.000334,782.588513
34401,0.000388,676.280573
34501,0.000354,744.014604
34601,0.000433,610.228900
34701,0.000383,690.377106
34801,0.000334,795.959855
34901,0.000177,1506.562929
35001,0.000339,788.225476
35101,0.000440,608.555514
35201,0.000361,744.462259
35301,0.000150,1790.185275
35401,0.000487,554.278025
35501,0.000094,2876.722828
35601,0.000384,707.577716
35701,0.000139,1954.351540
35801,0.000330,827.998299
35901,0.000326,839.513425
36001,0.000318,864.191304
36101,0.000359,766.342778
36201,0.000359,768.645193
36301,0.000421,657.586259
36401,0.000383,724.523481
36501,0.000360,772.915579
36601,0.000112,2490.229923
36701,0.000109,2570.077405
36801,0.000096,2938.741514
36901,0.000348,808.415837
37001,0.000402,702.942736
37101,0.000381,743.628252
37201,0.000341,833.229294
37301,0.000339,840.674109
37401,0.000415,686.810871
37501,0.000409,698.787558
37601,0.000394,728.503667
37701,0.000322,892.658108
37801,0.000333,866.596041
37901,0.000413,700.962944
38001,0.000377,769.017037
38101,0.000334,870.499516
38201,0.000124,2354.839767
38301,0.000245,1194.725788
38401,0.000384,762.011274
38501,0.000335,877.129889
38601,0.000193,1522.011872
38701,0.000334,882.735363
38801,0.000446,663.773610
38901,0.000468,634.253674
39001,0.000334,890.997844
39101,0.000334,893.654356
39201,0.000423,706.487417
39301,0.000330,908.970109
39401,0.000387,776.342301
39501,0.000349,864.650669
39601,0.000591,511.275457
39701,0.000361,837.996599
39801,0.000386,785.768037
39901,0.000355,858.122201
40001,0.000199,1534.206516
40101,0.000345,887.078902
40201,0.000279,1098.929925
40301,0.000469,655.786102
40401,0.000362,851.222341
40501,0.000469,658.425444
40601,0.000398,777.452618
40701,0.000377,824.279218
40801,0.000387,804.979224
40901,0.000359,870.405509
41001,0.000463,676.118707
41101,0.000099,3166.577726
41201,0.000351,894.996103
41301,0.000420,749.872863
41401,0.000371,851.894694
41501,0.000516,613.252613
41601,0.000353,899.597234
41701,0.000495,642.832130
41801,0.000465,685.413191
41901,0.000469,682.329446
42001,0.000355,901.838770
42101,0.000354,907.507968
42201,0.000431,746.910079
42301,0.000222,1456.693820
42401,0.000118,2751.977123
42501,0.000168,1930.014365
42601,0.000100,3243.105613
42701,0.004786,68.065867
42801,0.000360,907.260578
42901,0.000364,899.738600
43001,0.000353,929.866039
43101,0.000348,944.047907
43201,0.000413,797.258025
43301,0.000279,1186.029371
43401,0.000109,3027.256091
43501,0.000342,970.319895
43601,0.000283,1173.795719
43701,0.000167,1992.119800
43801,0.000351,950.771065
43901,0.000261,1282.308575
44001,0.000240,1400.058979
44101,0.000279,1205.634591
44201,0.000393,857.041472
44301,0.000412,820.497368
44401,0.000580,584.046019
44501,0.000367,924.294935
44601,0.000411,827.874444
44701,0.000243,1405.526277
44801,0.000356,959.190050
44901,0.000527,649.647832
45001,0.000455,753.913243
45101,0.000379,906.833324
45201,0.000368,936.297834
45301,0.000367,941.210858
45401,0.000423,819.002294
45501,0.000489,710.437475
45601,0.000358,971.902362
45701,0.000420,830.806196
45801,0.000169,2062.523841
45901,0.000217,1613.279429
46001,0.000486,721.436314
46101,0.000527,667.842012
46201,0.000388,908.393384
46301,0.000653,541.056059
46401,0.000392,903.595596
46501,0.000380,933.307629
46601,0.000373,953.226856
46701,0.000375,950.162161
46801,0.000419,851.545861
46901,0.000452,792.212172
47001,0.000381,940.389140
47101,0.000660,544.168454
47201,0.000313,1149.043591
47301,0.000282,1281.261903
47401,0.000454,796.399625
47501,0.000467,775.936074
47601,0.000508,714.641135
47701,0.000109,3350.525181
47801,0.000449,811.357064
47901,0.000507,720.527482
48001,0.000406,901.763091
48101,0.000480,764.795352
48201,0.000396,928.417895
48301,0.000378,975.284548
48401,0.000389,948.961477
48501,0.000433,855.054447
48601,0.000107,3468.570816
48701,0.000379,980.522288
48801,0.000392,949.135393
48901,0.000436,856.070913
49001,0.000496,753.817319
49101,0.000434,862.590529
49201,0.000397,946.176704
49301,0.000395,953.248940
49401,0.000390,965.419339
49501,0.000398,948.798653
49601,0.000563,672.397315
49701,0.000443,855.155184
49801,0.000423,898.457847
49901,0.000152,2509.428056
50001,0.000387,986.269798
50101,0.000422,905.731299
50201,0.000613,624.885488
50301,0.000387,992.107771
50401,0.000453,849.332223
50501,0.000114,3373.489766
50601,0.000170,2275.320763
50701,0.000399,969.614269
50801,0.000104,3735.080507
50901,0.000395,982.084692
51001,0.000100,3889.171307
51101,0.000118,3300.520150
51201,0.001405,278.116731
51301,0.000391,1001.418789
51401,0.000453,865.623477
51501,0.000471,833.959244
51601,0.000440,895.014014
51701,0.000385,1024.253665
51801,0.000461,857.787957
51901,0.000629,629.613746
52001,0.000434,913.185514
52101,0.000607,654.347980
52201,0.000495,805.170262
52301,0.000395,1009.280007
52401,0.000443,901.948917
52501,0.000419,955.307406
52601,0.000412,974.237508
52701,0.000397,1013.070817
52801,0.000403,1000.528066
52901,0.000415,973.397150
53001,0.000424,953.469679
53101,0.000399,1016.597701
53201,0.000461,880.034976
53301,0.000493,824.243389
53401,0.000403,1011.575863
53501,0.000528,773.718131
53601,0.000153,2671.702403
53701,0.000419,977.163512
53801,0.000415,988.831785
53901,0.000443,927.742391
54001,0.000425,968.798016
54101,0.000115,3596.023994
54201,0.000427,968.627866
54301,0.000242,1709.786563
54401,0.000551,752.673763
54501,0.000446,932.007720
54601,0.000410,1015.109487
54701,0.000513,813.346969
54801,0.000547,764.118024
54901,0.000469,892.202575
55001,0.000477,878.991533
55101,0.000427,984.460412
55201,0.000362,1163.619585
55301,0.000434,973.251133
55401,0.000436,969.538378
55501,0.000424,998.220108
55601,0.000117,3633.056313
55701,0.000531,800.023078
55801,0.000599,710.322248
55901,0.000445,959.320294
56001,0.000432,989.102455
56101,0.000461,928.748836
56201,0.000535,801.086140
56301,0.000423,1015.162067
56401,0.000440,977.753621
56501,0.000442,975.373798
56601,0.000473,912.796832
56701,0.000410,1053.925355
56801,0.000426,1018.183380
56901,0.000432,1005.147356
57001,0.000436,997.717413
57101,0.000458,950.916131
57201,0.000428,1018.637921
57301,0.000580,753.419015
57401,0.000435,1007.332593
57501,0.000448,978.777333
57601,0.000585,751.103612
57701,0.000429,1027.074447
57801,0.000209,2108.334087
57901,0.000431,1025.252456
58001,0.000471,939.688615
58101,0.000463,956.947806
58201,0.000472,940.874947
58301,0.000485,917.897853
58401,0.000495,900.903446
58501,0.000446,1001.712804
58601,0.000472,946.701406
58701,0.000512,874.767891
58801,0.000292,1534.095144
58901,0.000522,861.516481
59001,0.000428,1052.655498
59101,0.000440,1025.249604
59201,0.000115,3919.034710
59301,0.000432,1048.322039
59401,0.000228,1988.995519
59501,0.000439,1034.104862
59601,0.000437,1039.684329
59701,0.000432,1053.923111
59801,0.000470,970.724575
59901,0.000446,1024.496199
60001,0.000422,1084.573046
60101,0.000936,489.751463
60201,0.000113,4059.017649
60301,0.000463,993.588049
60401,0.000115,4004.031651
60501,0.000457,1009.933226
60601,0.000539,857.138417
60701,0.000581,797.177048
60801,0.000480,967.211851
60901,0.000539,862.196785
61001,0.000508,916.164818
61101,0.000328,1421.840395
61201,0.000627,744.534757
61301,0.000506,924.399076
61401,0.000518,903.715160
61501,0.000161,2913.826215
61601,0.000525,894.675466
61701,0.000446,1056.176808
61801,0.000176,2675.783503
61901,0.000608,777.273227
62001,0.000439,1076.786067
62101,0.000455,1040.509641
62201,0.000486,976.378233
62301,0.000507,938.415921
62401,0.000633,752.409826
62501,0.000531,897.477105
62601,0.000434,1101.511279
62701,0.000554,862.776522
62801,0.000505,948.698645
62901,0.000531,903.562680
63001,0.000543,884.482357
63101,0.000427,1128.647305
63201,0.000448,1076.645191
63301,0.000503,960.338156
63401,0.000210,2301.309285
63501,0.000279,1734.399939
63601,0.000686,707.497804
63701,0.000474,1025.141258
63801,0.000257,1894.214808
63901,0.000169,2891.361365
64001,0.000421,1160.605232
64101,0.000431,1134.945999
64201,0.000464,1055.914941
64301,0.000475,1032.349444
64401,0.000486,1012.000846
64501,0.000536,918.434462
64601,0.000556,886.057064
64701,0.000459,1074.841020
64801,0.000447,1106.825174
64901,0.000225,2196.448146
65001,0.000123,4018.501260
65101,0.000124,4004.532485
65201,0.000495,1004.028885
65301,0.000492,1012.733250
65401,0.000485,1028.536822
65501,0.000551,906.933431
65601,0.000123,4056.679369
65701,0.000460,1089.906099
65801,0.000503,997.472146
65901,0.000469,1073.172657
66001,0.000455,1106.007502
66101,0.000476,1059.798684
66201,0.000469,1077.807281
66301,0.000659,767.028178
66401,0.000645,784.874494
66501,0.000146,3470.147459
66601,0.000460,1104.761600
66701,0.000495,1028.443358
66801,0.000131,3889.049333
66901,0.000452,1128.687536
67001,0.000497,1029.463449
67101,0.000550,931.460531
67201,0.000232,2212.982991
67301,0.000488,1051.360990
67401,0.000476,1080.330536
67501,0.000156,3304.115864
67601,0.000531,971.496162
67701,0.000471,1096.572598
67801,0.000479,1080.296328
67901,0.000458,1132.315362
68001,0.000245,2116.466900
68101,0.000124,4184.077264
68201,0.003662,142.084489
68301,0.000691,753.787376
68401,0.000692,754.486095
68501,0.000479,1089.997327
68601,0.000495,1056.786317
68701,0.000546,959.872517
68801,0.000473,1109.248746
68901,0.000621,846.918537
69001,0.000478,1100.340081
69101,0.000485,1087.496349
